model_dir,display_name,augmentation,fold_index,fold_name,run_dir,stage,exit_code,status,log_path,timestamp_start,timestamp_end
base_cnn,Base_CNN,none,3,kfold_04,runs/base_cnn/run_kfold_04,train,0,success,runs/base_cnn/run_kfold_04/logs/run_20260425_114903.log,2026-04-25T09:49:03Z,2026-04-25T12:21:25Z
base_cnn,Base_CNN,none,3,kfold_04,runs/base_cnn/run_kfold_04,infer_clean,0,success,runs/base_cnn/run_kfold_04/logs/run_20260425_114903.log,2026-04-25T12:21:25Z,2026-04-25T12:22:00Z
base_cnn,Base_CNN,none,3,kfold_04,runs/base_cnn/run_kfold_04,eval_clean,0,success,runs/base_cnn/run_kfold_04/logs/run_20260425_114903.log,2026-04-25T12:22:00Z,2026-04-25T12:22:23Z
base_cnn,Base_CNN,none,3,kfold_04,runs/base_cnn/run_kfold_04,infer_augmented,0,success,runs/base_cnn/run_kfold_04/logs/run_20260425_114903.log,2026-04-25T12:22:23Z,2026-04-25T12:23:35Z
base_cnn,Base_CNN,none,3,kfold_04,runs/base_cnn/run_kfold_04,eval_augmented,0,success,runs/base_cnn/run_kfold_04/logs/run_20260425_114903.log,2026-04-25T12:23:35Z,2026-04-25T12:23:57Z
base_cnn,Base_CNN,none,3,kfold_04,runs/base_cnn/run_kfold_04,charts,0,success,runs/base_cnn/run_kfold_04/logs/run_20260425_114903.log,2026-04-25T12:23:57Z,2026-04-25T12:23:58Z
base_cnn,Base_CNN,none,3,kfold_04,runs/base_cnn/run_kfold_04,dice_comparison,0,success,runs/base_cnn/run_kfold_04/logs/run_20260425_114903.log,2026-04-25T12:23:58Z,2026-04-25T12:23:59Z
base_cnn,Base_CNN,none,3,kfold_04,runs/base_cnn/run_kfold_04,plot_training,0,success,runs/base_cnn/run_kfold_04/logs/run_20260425_114903.log,2026-04-25T12:23:59Z,2026-04-25T12:24:00Z
base_cnn,Base_CNN,none,4,kfold_05,runs/base_cnn/run_kfold_05,train,0,success,runs/base_cnn/run_kfold_05/logs/run_20260425_142400.log,2026-04-25T12:24:00Z,2026-04-25T16:28:41Z
base_cnn,Base_CNN,none,4,kfold_05,runs/base_cnn/run_kfold_05,infer_clean,0,success,runs/base_cnn/run_kfold_05/logs/run_20260425_142400.log,2026-04-25T16:28:41Z,2026-04-25T16:29:15Z
base_cnn,Base_CNN,none,4,kfold_05,runs/base_cnn/run_kfold_05,eval_clean,0,success,runs/base_cnn/run_kfold_05/logs/run_20260425_142400.log,2026-04-25T16:29:15Z,2026-04-25T16:29:38Z
base_cnn,Base_CNN,none,4,kfold_05,runs/base_cnn/run_kfold_05,infer_augmented,0,success,runs/base_cnn/run_kfold_05/logs/run_20260425_142400.log,2026-04-25T16:29:38Z,2026-04-25T16:30:53Z
base_cnn,Base_CNN,none,4,kfold_05,runs/base_cnn/run_kfold_05,eval_augmented,0,success,runs/base_cnn/run_kfold_05/logs/run_20260425_142400.log,2026-04-25T16:30:53Z,2026-04-25T16:31:16Z
base_cnn,Base_CNN,none,4,kfold_05,runs/base_cnn/run_kfold_05,charts,0,success,runs/base_cnn/run_kfold_05/logs/run_20260425_142400.log,2026-04-25T16:31:16Z,2026-04-25T16:31:17Z
base_cnn,Base_CNN,none,4,kfold_05,runs/base_cnn/run_kfold_05,dice_comparison,0,success,runs/base_cnn/run_kfold_05/logs/run_20260425_142400.log,2026-04-25T16:31:17Z,2026-04-25T16:31:18Z
base_cnn,Base_CNN,none,4,kfold_05,runs/base_cnn/run_kfold_05,plot_training,0,success,runs/base_cnn/run_kfold_05/logs/run_20260425_142400.log,2026-04-25T16:31:18Z,2026-04-25T16:31:19Z
base_cnn,Base_CNN,motion_consistent_0.5,0,kfold_01,runs/base_cnn/run_DA_kfold_01,train,0,success,runs/base_cnn/run_DA_kfold_01/logs/run_20260425_183119.log,2026-04-25T16:31:19Z,2026-04-25T20:35:58Z
base_cnn,Base_CNN,motion_consistent_0.5,0,kfold_01,runs/base_cnn/run_DA_kfold_01,infer_clean,0,success,runs/base_cnn/run_DA_kfold_01/logs/run_20260425_183119.log,2026-04-25T20:35:58Z,2026-04-25T20:36:32Z
base_cnn,Base_CNN,motion_consistent_0.5,0,kfold_01,runs/base_cnn/run_DA_kfold_01,eval_clean,0,success,runs/base_cnn/run_DA_kfold_01/logs/run_20260425_183119.log,2026-04-25T20:36:32Z,2026-04-25T20:36:55Z
base_cnn,Base_CNN,motion_consistent_0.5,0,kfold_01,runs/base_cnn/run_DA_kfold_01,infer_augmented,0,success,runs/base_cnn/run_DA_kfold_01/logs/run_20260425_183119.log,2026-04-25T20:36:55Z,2026-04-25T20:38:06Z
base_cnn,Base_CNN,motion_consistent_0.5,0,kfold_01,runs/base_cnn/run_DA_kfold_01,eval_augmented,0,success,runs/base_cnn/run_DA_kfold_01/logs/run_20260425_183119.log,2026-04-25T20:38:06Z,2026-04-25T20:38:29Z
base_cnn,Base_CNN,motion_consistent_0.5,0,kfold_01,runs/base_cnn/run_DA_kfold_01,charts,0,success,runs/base_cnn/run_DA_kfold_01/logs/run_20260425_183119.log,2026-04-25T20:38:29Z,2026-04-25T20:38:30Z
base_cnn,Base_CNN,motion_consistent_0.5,0,kfold_01,runs/base_cnn/run_DA_kfold_01,dice_comparison,0,success,runs/base_cnn/run_DA_kfold_01/logs/run_20260425_183119.log,2026-04-25T20:38:30Z,2026-04-25T20:38:31Z
base_cnn,Base_CNN,motion_consistent_0.5,0,kfold_01,runs/base_cnn/run_DA_kfold_01,plot_training,0,success,runs/base_cnn/run_DA_kfold_01/logs/run_20260425_183119.log,2026-04-25T20:38:31Z,2026-04-25T20:38:31Z
base_cnn,Base_CNN,motion_consistent_0.5,1,kfold_02,runs/base_cnn/run_DA_kfold_02,train,0,success,runs/base_cnn/run_DA_kfold_02/logs/run_20260425_223831.log,2026-04-25T20:38:31Z,2026-04-26T02:42:06Z
base_cnn,Base_CNN,motion_consistent_0.5,1,kfold_02,runs/base_cnn/run_DA_kfold_02,infer_clean,0,success,runs/base_cnn/run_DA_kfold_02/logs/run_20260425_223831.log,2026-04-26T02:42:06Z,2026-04-26T02:42:38Z
base_cnn,Base_CNN,motion_consistent_0.5,1,kfold_02,runs/base_cnn/run_DA_kfold_02,eval_clean,0,success,runs/base_cnn/run_DA_kfold_02/logs/run_20260425_223831.log,2026-04-26T02:42:38Z,2026-04-26T02:43:01Z
base_cnn,Base_CNN,motion_consistent_0.5,1,kfold_02,runs/base_cnn/run_DA_kfold_02,infer_augmented,0,success,runs/base_cnn/run_DA_kfold_02/logs/run_20260425_223831.log,2026-04-26T02:43:01Z,2026-04-26T02:44:17Z
base_cnn,Base_CNN,motion_consistent_0.5,1,kfold_02,runs/base_cnn/run_DA_kfold_02,eval_augmented,0,success,runs/base_cnn/run_DA_kfold_02/logs/run_20260425_223831.log,2026-04-26T02:44:17Z,2026-04-26T02:44:40Z
base_cnn,Base_CNN,motion_consistent_0.5,1,kfold_02,runs/base_cnn/run_DA_kfold_02,charts,0,success,runs/base_cnn/run_DA_kfold_02/logs/run_20260425_223831.log,2026-04-26T02:44:40Z,2026-04-26T02:44:41Z
base_cnn,Base_CNN,motion_consistent_0.5,1,kfold_02,runs/base_cnn/run_DA_kfold_02,dice_comparison,0,success,runs/base_cnn/run_DA_kfold_02/logs/run_20260425_223831.log,2026-04-26T02:44:41Z,2026-04-26T02:44:41Z
base_cnn,Base_CNN,motion_consistent_0.5,1,kfold_02,runs/base_cnn/run_DA_kfold_02,plot_training,0,success,runs/base_cnn/run_DA_kfold_02/logs/run_20260425_223831.log,2026-04-26T02:44:42Z,2026-04-26T02:44:42Z
base_cnn,Base_CNN,motion_consistent_0.5,2,kfold_03,runs/base_cnn/run_DA_kfold_03,train,0,success,runs/base_cnn/run_DA_kfold_03/logs/run_20260426_044442.log,2026-04-26T02:44:42Z,2026-04-26T10:05:43Z
base_cnn,Base_CNN,motion_consistent_0.5,2,kfold_03,runs/base_cnn/run_DA_kfold_03,infer_clean,0,success,runs/base_cnn/run_DA_kfold_03/logs/run_20260426_044442.log,2026-04-26T10:05:43Z,2026-04-26T10:06:17Z
base_cnn,Base_CNN,motion_consistent_0.5,2,kfold_03,runs/base_cnn/run_DA_kfold_03,eval_clean,0,success,runs/base_cnn/run_DA_kfold_03/logs/run_20260426_044442.log,2026-04-26T10:06:17Z,2026-04-26T10:06:40Z
base_cnn,Base_CNN,motion_consistent_0.5,2,kfold_03,runs/base_cnn/run_DA_kfold_03,infer_augmented,0,success,runs/base_cnn/run_DA_kfold_03/logs/run_20260426_044442.log,2026-04-26T10:06:40Z,2026-04-26T10:07:54Z
base_cnn,Base_CNN,motion_consistent_0.5,2,kfold_03,runs/base_cnn/run_DA_kfold_03,eval_augmented,0,success,runs/base_cnn/run_DA_kfold_03/logs/run_20260426_044442.log,2026-04-26T10:07:54Z,2026-04-26T10:08:17Z
base_cnn,Base_CNN,motion_consistent_0.5,2,kfold_03,runs/base_cnn/run_DA_kfold_03,charts,0,success,runs/base_cnn/run_DA_kfold_03/logs/run_20260426_044442.log,2026-04-26T10:08:17Z,2026-04-26T10:08:18Z
base_cnn,Base_CNN,motion_consistent_0.5,2,kfold_03,runs/base_cnn/run_DA_kfold_03,dice_comparison,0,success,runs/base_cnn/run_DA_kfold_03/logs/run_20260426_044442.log,2026-04-26T10:08:18Z,2026-04-26T10:08:19Z
base_cnn,Base_CNN,motion_consistent_0.5,2,kfold_03,runs/base_cnn/run_DA_kfold_03,plot_training,0,success,runs/base_cnn/run_DA_kfold_03/logs/run_20260426_044442.log,2026-04-26T10:08:19Z,2026-04-26T10:08:19Z
base_cnn,Base_CNN,motion_consistent_0.5,3,kfold_04,runs/base_cnn/run_DA_kfold_04,train,0,success,runs/base_cnn/run_DA_kfold_04/logs/run_20260426_120820.log,2026-04-26T10:08:20Z,2026-04-26T14:53:43Z
base_cnn,Base_CNN,motion_consistent_0.5,3,kfold_04,runs/base_cnn/run_DA_kfold_04,infer_clean,0,success,runs/base_cnn/run_DA_kfold_04/logs/run_20260426_120820.log,2026-04-26T14:53:43Z,2026-04-26T14:54:18Z
base_cnn,Base_CNN,motion_consistent_0.5,3,kfold_04,runs/base_cnn/run_DA_kfold_04,eval_clean,0,success,runs/base_cnn/run_DA_kfold_04/logs/run_20260426_120820.log,2026-04-26T14:54:18Z,2026-04-26T14:54:41Z
base_cnn,Base_CNN,motion_consistent_0.5,3,kfold_04,runs/base_cnn/run_DA_kfold_04,infer_augmented,0,success,runs/base_cnn/run_DA_kfold_04/logs/run_20260426_120820.log,2026-04-26T14:54:41Z,2026-04-26T14:55:56Z
base_cnn,Base_CNN,motion_consistent_0.5,3,kfold_04,runs/base_cnn/run_DA_kfold_04,eval_augmented,0,success,runs/base_cnn/run_DA_kfold_04/logs/run_20260426_120820.log,2026-04-26T14:55:56Z,2026-04-26T14:56:19Z
base_cnn,Base_CNN,motion_consistent_0.5,3,kfold_04,runs/base_cnn/run_DA_kfold_04,charts,0,success,runs/base_cnn/run_DA_kfold_04/logs/run_20260426_120820.log,2026-04-26T14:56:19Z,2026-04-26T14:56:20Z
base_cnn,Base_CNN,motion_consistent_0.5,3,kfold_04,runs/base_cnn/run_DA_kfold_04,dice_comparison,0,success,runs/base_cnn/run_DA_kfold_04/logs/run_20260426_120820.log,2026-04-26T14:56:20Z,2026-04-26T14:56:21Z
base_cnn,Base_CNN,motion_consistent_0.5,3,kfold_04,runs/base_cnn/run_DA_kfold_04,plot_training,0,success,runs/base_cnn/run_DA_kfold_04/logs/run_20260426_120820.log,2026-04-26T14:56:21Z,2026-04-26T14:56:21Z
base_cnn,Base_CNN,motion_consistent_0.5,4,kfold_05,runs/base_cnn/run_DA_kfold_05,train,0,success,runs/base_cnn/run_DA_kfold_05/logs/run_20260426_165622.log,2026-04-26T14:56:22Z,2026-04-26T19:18:51Z
base_cnn,Base_CNN,motion_consistent_0.5,4,kfold_05,runs/base_cnn/run_DA_kfold_05,infer_clean,0,success,runs/base_cnn/run_DA_kfold_05/logs/run_20260426_165622.log,2026-04-26T19:18:51Z,2026-04-26T19:19:25Z
base_cnn,Base_CNN,motion_consistent_0.5,4,kfold_05,runs/base_cnn/run_DA_kfold_05,eval_clean,0,success,runs/base_cnn/run_DA_kfold_05/logs/run_20260426_165622.log,2026-04-26T19:19:25Z,2026-04-26T19:19:48Z
base_cnn,Base_CNN,motion_consistent_0.5,4,kfold_05,runs/base_cnn/run_DA_kfold_05,infer_augmented,0,success,runs/base_cnn/run_DA_kfold_05/logs/run_20260426_165622.log,2026-04-26T19:19:48Z,2026-04-26T19:21:02Z
base_cnn,Base_CNN,motion_consistent_0.5,4,kfold_05,runs/base_cnn/run_DA_kfold_05,eval_augmented,0,success,runs/base_cnn/run_DA_kfold_05/logs/run_20260426_165622.log,2026-04-26T19:21:02Z,2026-04-26T19:21:25Z
base_cnn,Base_CNN,motion_consistent_0.5,4,kfold_05,runs/base_cnn/run_DA_kfold_05,charts,0,success,runs/base_cnn/run_DA_kfold_05/logs/run_20260426_165622.log,2026-04-26T19:21:25Z,2026-04-26T19:21:26Z
base_cnn,Base_CNN,motion_consistent_0.5,4,kfold_05,runs/base_cnn/run_DA_kfold_05,dice_comparison,0,success,runs/base_cnn/run_DA_kfold_05/logs/run_20260426_165622.log,2026-04-26T19:21:26Z,2026-04-26T19:21:26Z
base_cnn,Base_CNN,motion_consistent_0.5,4,kfold_05,runs/base_cnn/run_DA_kfold_05,plot_training,0,success,runs/base_cnn/run_DA_kfold_05/logs/run_20260426_165622.log,2026-04-26T19:21:26Z,2026-04-26T19:21:27Z
