model_dir,display_name,condition,summary_dir,clean_dice_fold_mean,clean_dice_fold_std,augmented_dice_fold_mean,augmented_dice_fold_std,robustness_delta_fold_mean,robustness_delta_fold_std,clean_dice_pooled_subject_mean,clean_dice_pooled_subject_std,augmented_dice_pooled_subject_mean,augmented_dice_pooled_subject_std,clean_coverage_ok,augmented_coverage_ok,warnings
base_cnn,Base CNN,No DA,runs/base_cnn/run_kfold_summary,0.5187555626433226,0.02637588818859969,0.46957929790257236,0.03649758781060471,0.04917626474075023,0.015205174629998692,0.5186795153378758,0.298636251854451,0.4694694759399102,0.3057621651786656,True,True,0
base_cnn,Base CNN,DA,runs/base_cnn/run_DA_kfold_summary,0.518529077805064,0.019757378348883692,0.486836746934549,0.017122379766185917,0.031692330870514984,0.0153214993185476,0.5184842928717461,0.29812798648922273,0.4868362847628855,0.2994462232709649,True,True,0
mednext,MedNeXt,No DA,runs/mednext/run_kfold_summary,0.535790488226814,0.02624951080476441,0.49230167800327107,0.025749298822695953,0.04348881022354294,0.006468246611812906,0.5357160441690194,0.30434735011844705,0.4922251218179799,0.30675225466858386,True,True,0
mednext,MedNeXt,DA,runs/mednext/run_DA_kfold_summary,0.5431848106215117,0.023441400913949736,0.5142725735555278,0.026206337239331964,0.028912237065983837,0.004641127718542107,0.5431148790918172,0.3039048331348364,0.5141878725454395,0.30500934416380565,True,True,0
swin,Swin,No DA,runs/swin/run_kfold_summary,0.5242382394495747,0.028210876777175542,0.47590952833613437,0.0214034777074491,0.048328711113440406,0.008869757641993513,0.5241403263821113,0.2953351814039849,0.47583644158507377,0.2999422352599318,True,True,0
swin,Swin,DA,runs/swin/run_DA_kfold_summary,0.5387763538356986,0.02229866173129468,0.5072806047371461,0.021139588224292218,0.031495749098552385,0.004260537977225563,0.5387052408141143,0.29862681956083986,0.507209721129038,0.3033058889839735,True,True,0
uxnet,UXNet,No DA,runs/uxnet/run_kfold_summary,0.5278509776862581,0.033790104041521184,0.47944978331625443,0.03200136932611774,0.04840119437000372,0.017202530242399556,0.5277592129818064,0.3000079136726699,0.4793412583190633,0.3051471072251626,True,True,0
uxnet,UXNet,DA,runs/uxnet/run_DA_kfold_summary,0.52737097397228,0.020101105764121975,0.49526528757902877,0.019670352094776116,0.0321056863932513,0.00467559299395505,0.527306966277858,0.30344497288965633,0.49520463175283913,0.30652316629172804,True,True,0
