Architecture,Lesion voxel stratum,N,Mean artifact Dice,Median artifact Dice,Failure rate,Strong rate
MedNeXt,"[13, 1159)",163,0.3126739779208184,0.29389102955757235,0.4233128834355828,0.147239263803681
MedNeXt,"[1159, 5290)",163,0.4374045657198892,0.4702510917753478,0.17177914110429449,0.2331288343558282
MedNeXt,"[5290, 36236)",163,0.5696024518184892,0.6493906000613413,0.08588957055214724,0.4171779141104294
MedNeXt,"[36236, 496656]",164,0.735711454343432,0.8007803611842482,0.024390243902439025,0.75
Swin UNETR,"[13, 1159)",163,0.2941276039726949,0.22546973021822603,0.4723926380368098,0.12883435582822086
Swin UNETR,"[1159, 5290)",163,0.4388004437744007,0.47283582100043065,0.17177914110429449,0.2392638036809816
Swin UNETR,"[5290, 36236)",163,0.5599689901642282,0.6268912806405482,0.0736196319018405,0.37423312883435583
Swin UNETR,"[36236, 496656]",164,0.7345471385226584,0.800715665909663,0.024390243902439025,0.75
