Architecture,N,Std gap,Aug gap,Gap reduction,CI95,Holm p
Base CNN,653,0.04921003939796564,0.03164800810886068,0.017562031289104958,"[0.006, 0.029]",0.006704772758386029
MedNeXt,653,0.043490922351039435,0.028927006546377806,0.014563915804661636,"[0.004, 0.025]",0.03056604866553951
Swin UNETR,653,0.048303884797037414,0.03149551968507638,0.01680836511196104,"[0.007, 0.027]",0.0013757055689268601
UXNet,653,0.04841795466274307,0.032102334525018913,0.016315620137724165,"[0.007, 0.026]",0.022299109206724444
