epoch,train_loss,dev_dice,dev_loss
1,0.835784229528904,0.29865679322210836,0.7465806198158081
2,0.6242039587110281,0.21392195535444974,0.8270444737118521
3,0.5442090644299984,0.4438052852171623,0.5786223106893005
4,0.5108418117463589,0.4478757824540589,0.5723701042069751
5,0.4643157354354858,0.48405302081276275,0.5308591710628977
6,0.4480417440086603,0.45229606797545147,0.5617407132296046
7,0.43029525967240334,0.4998926369075266,0.514895187773902
8,0.41017378233671187,0.5043199255259563,0.5098799081270102
9,0.40342569731771943,0.4880446904938709,0.5246257197799956
10,0.38426254533827303,0.49712245007177275,0.519433134015958
11,0.3811941704377532,0.5201270049888769,0.49422430745355644
12,0.3700925531566143,0.519792006711391,0.4943848279346326
13,0.36671332694888115,0.5292227474089973,0.4855102666529121
14,0.3563293619543314,0.5232420057604734,0.4912516102194786
15,0.3453107405155897,0.510548413153864,0.50339328127492
16,0.34045656930208207,0.48970365211120986,0.5239428439812296
17,0.33176993071734906,0.5379806608603409,0.4773034068999017
18,0.3199055039316416,0.46609405325088143,0.5481387482137438
19,0.31587374730706214,0.515961933979958,0.497098500087003
20,0.31605470890700815,0.5257381274795315,0.4856755421229988
21,0.30227508587241175,0.5212746630536872,0.4911632334255868
22,0.3102366628706455,0.5364091427055113,0.47537811783848294
23,0.30338758600354193,0.35175719718077025,0.6697855283310459
24,0.30313875304460525,0.540291940363487,0.47152809926848505
25,0.29388241130411624,0.5341054716112963,0.47825144093697236
26,0.2918937139451504,0.5359623886222512,0.4757872792850634
27,0.2831581854850054,0.527274518064742,0.4837132307469465
28,0.28294424484968184,0.5013790426834729,0.5107124760082573
29,0.2802273409754038,0.5344698173481834,0.4764075386960795
30,0.2798821981906891,0.5258477515273142,0.486489765535874
31,0.2712252228468657,0.5301669996944196,0.4821612514128351
32,0.2744082974284887,0.5106240589780804,0.5004948223852048
33,0.2686153696089983,0.5309408254096855,0.48114147454879846
34,0.26719112799465655,0.5300722693530285,0.4813754957193022
