model_dir,display_name,augmentation,fold_index,fold_name,run_dir,stage,exit_code,status,log_path,timestamp_start,timestamp_end
uxnet,UXNet,none,3,kfold_04,runs/uxnet/run_kfold_04,eval_clean,0,success,runs/uxnet/run_kfold_04/logs/run_20260428_195459.log,2026-04-29T10:11:51Z,2026-04-29T10:12:13Z
uxnet,UXNet,none,3,kfold_04,runs/uxnet/run_kfold_04,infer_augmented,0,success,runs/uxnet/run_kfold_04/logs/run_20260428_195459.log,2026-04-29T10:12:13Z,2026-04-29T10:18:01Z
uxnet,UXNet,none,3,kfold_04,runs/uxnet/run_kfold_04,eval_augmented,0,success,runs/uxnet/run_kfold_04/logs/run_20260428_195459.log,2026-04-29T10:18:01Z,2026-04-29T10:18:23Z
uxnet,UXNet,none,3,kfold_04,runs/uxnet/run_kfold_04,charts,0,success,runs/uxnet/run_kfold_04/logs/run_20260428_195459.log,2026-04-29T10:18:23Z,2026-04-29T10:18:24Z
uxnet,UXNet,none,3,kfold_04,runs/uxnet/run_kfold_04,dice_comparison,0,success,runs/uxnet/run_kfold_04/logs/run_20260428_195459.log,2026-04-29T10:18:24Z,2026-04-29T10:18:24Z
uxnet,UXNet,none,3,kfold_04,runs/uxnet/run_kfold_04,plot_training,0,success,runs/uxnet/run_kfold_04/logs/run_20260428_195459.log,2026-04-29T10:18:24Z,2026-04-29T10:18:25Z
uxnet,UXNet,none,4,kfold_05,runs/uxnet/run_kfold_05,train,0,success,runs/uxnet/run_kfold_05/logs/run_20260429_121825.log,2026-04-29T10:18:25Z,2026-04-30T01:45:35Z
uxnet,UXNet,none,4,kfold_05,runs/uxnet/run_kfold_05,infer_clean,0,success,runs/uxnet/run_kfold_05/logs/run_20260429_121825.log,2026-04-30T01:45:35Z,2026-04-30T01:51:25Z
uxnet,UXNet,none,4,kfold_05,runs/uxnet/run_kfold_05,eval_clean,0,success,runs/uxnet/run_kfold_05/logs/run_20260429_121825.log,2026-04-30T01:51:25Z,2026-04-30T01:51:47Z
uxnet,UXNet,none,4,kfold_05,runs/uxnet/run_kfold_05,infer_augmented,0,success,runs/uxnet/run_kfold_05/logs/run_20260429_121825.log,2026-04-30T01:51:47Z,2026-04-30T01:57:35Z
uxnet,UXNet,none,4,kfold_05,runs/uxnet/run_kfold_05,eval_augmented,0,success,runs/uxnet/run_kfold_05/logs/run_20260429_121825.log,2026-04-30T01:57:35Z,2026-04-30T01:57:57Z
uxnet,UXNet,none,4,kfold_05,runs/uxnet/run_kfold_05,charts,0,success,runs/uxnet/run_kfold_05/logs/run_20260429_121825.log,2026-04-30T01:57:57Z,2026-04-30T01:57:58Z
uxnet,UXNet,none,4,kfold_05,runs/uxnet/run_kfold_05,dice_comparison,0,success,runs/uxnet/run_kfold_05/logs/run_20260429_121825.log,2026-04-30T01:57:58Z,2026-04-30T01:57:59Z
uxnet,UXNet,none,4,kfold_05,runs/uxnet/run_kfold_05,plot_training,0,success,runs/uxnet/run_kfold_05/logs/run_20260429_121825.log,2026-04-30T01:57:59Z,2026-04-30T01:58:00Z
uxnet,UXNet,motion_consistent_0.5,0,kfold_01,runs/uxnet/run_DA_kfold_01,train,0,success,runs/uxnet/run_DA_kfold_01/logs/run_20260430_035800.log,2026-04-30T01:58:00Z,2026-04-30T22:11:52Z
uxnet,UXNet,motion_consistent_0.5,0,kfold_01,runs/uxnet/run_DA_kfold_01,infer_clean,0,success,runs/uxnet/run_DA_kfold_01/logs/run_20260430_035800.log,2026-04-30T22:11:52Z,2026-04-30T22:17:47Z
uxnet,UXNet,motion_consistent_0.5,0,kfold_01,runs/uxnet/run_DA_kfold_01,eval_clean,0,success,runs/uxnet/run_DA_kfold_01/logs/run_20260430_035800.log,2026-04-30T22:17:47Z,2026-04-30T22:18:09Z
uxnet,UXNet,motion_consistent_0.5,0,kfold_01,runs/uxnet/run_DA_kfold_01,infer_augmented,0,success,runs/uxnet/run_DA_kfold_01/logs/run_20260430_035800.log,2026-04-30T22:18:09Z,2026-04-30T22:24:02Z
uxnet,UXNet,motion_consistent_0.5,0,kfold_01,runs/uxnet/run_DA_kfold_01,eval_augmented,0,success,runs/uxnet/run_DA_kfold_01/logs/run_20260430_035800.log,2026-04-30T22:24:02Z,2026-04-30T22:24:25Z
uxnet,UXNet,motion_consistent_0.5,0,kfold_01,runs/uxnet/run_DA_kfold_01,charts,0,success,runs/uxnet/run_DA_kfold_01/logs/run_20260430_035800.log,2026-04-30T22:24:25Z,2026-04-30T22:24:26Z
