epoch,train_loss,dev_dice,dev_loss
1,0.8532995736579956,0.2911678560212485,0.7461997785955478
2,0.6494586495697451,0.34956509431372107,0.679190052447805
3,0.5705475133964034,0.36040390521612015,0.6673641087143285
4,0.5355249743587805,0.4200250967787726,0.6067741206212408
5,0.511414443690811,0.41575377282633785,0.6028360155927148
6,0.4796023720034667,0.4329310097613113,0.5855104182461265
7,0.45179171057527906,0.443507782571626,0.5758886337280273
8,0.43040558593006034,0.41715862316148045,0.5994077090909526
9,0.42484435997012127,0.43317664593242516,0.5814973337540201
10,0.400770710799041,0.42892677938981133,0.5861926095880521
11,0.38741680771480813,0.41971199970048323,0.5981053738931942
12,0.3799719849372642,0.4259416393973793,0.5905416971843713
13,0.3765676939025212,0.4850863534290604,0.5308278557031777
14,0.3635906938320855,0.46630688755332467,0.5489730893331728
15,0.35432960796192214,0.47469441303337806,0.5383617558107254
16,0.34425586125140556,0.47748029897528677,0.537174938116104
17,0.33482999268821195,0.4540152341063069,0.5592423200512388
18,0.3205487433660544,0.41843316016875043,0.5982029859427433
19,0.3170400215862423,0.409537652690368,0.6036883774361793
20,0.3147169492405021,0.42418706765578823,0.5894617035415521
21,0.30536613082646896,0.457240399728134,0.5556236935459125
22,0.3038555780108914,0.41372209694376605,0.6021656051847586
23,0.29964946514586704,0.46727577872948395,0.5460788053312119
