bin_label,lower_percent,upper_percent,clean_count,augmented_count
0-9,0,9,109,127
10-19,10,19,34,33
20-29,20,29,31,40
30-39,30,39,24,25
40-49,40,49,48,45
50-59,50,59,64,64
60-69,60,69,74,84
70-79,70,79,126,120
80-89,80,89,129,110
90-100,90,100,14,5
