fold_index,run_dir,expected_test_subjects,clean_subjects,augmented_subjects,clean_dice_mean,augmented_dice_mean,fold_robustness_delta_mean,clean_jaccard_mean,augmented_jaccard_mean,clean_precision_mean,augmented_precision_mean,clean_recall_mean,augmented_recall_mean,clean_abs_volume_diff_ratio_mean,augmented_abs_volume_diff_ratio_mean
0,<REPO_ROOT>/runs/uxnet/run_DA_kfold_01,131,131,131,0.5322143670604396,0.5009744652587584,0.031239901801681125,0.41720651948229465,0.3865788502759799,0.6950777119288462,0.6465111988011204,0.5448996574436139,0.5182435800996202,0.6242669577899529,0.7279338922963311
1,<REPO_ROOT>/runs/uxnet/run_DA_kfold_02,131,131,131,0.5081696796639171,0.47237276095639097,0.03579691870752616,0.396410921171994,0.36507985103541346,0.5829661645538508,0.567758855549115,0.5535118109164087,0.514150512992964,10.928531318690894,11.271077103255127
2,<REPO_ROOT>/runs/uxnet/run_DA_kfold_03,131,131,131,0.49993185073487406,0.47284038202008166,0.0270914687147924,0.39023469768429525,0.36565446547167946,0.6575865912379708,0.6114944985496018,0.5130111205398803,0.49322783349576527,0.7245715534390538,0.8284013919561368
3,<REPO_ROOT>/runs/uxnet/run_DA_kfold_04,130,130,130,0.5491976548783,0.5218024665543175,0.027395188323982467,0.43753362619450853,0.4095564811213085,0.7156191463087221,0.6574342653050899,0.5567933156066565,0.5369112550312956,0.6313811827732977,0.701663927791146
4,<REPO_ROOT>/runs/uxnet/run_DA_kfold_05,130,130,130,0.5473413175238697,0.5083363631055954,0.03900495441827434,0.4223334094178426,0.3860899899535447,0.6520027059673205,0.5991763130769396,0.5637613137694507,0.5300370569149759,0.7361827082108959,0.8206391310168892
