epoch,train_loss,dev_dice,dev_loss
1,0.8927235346078872,0.10458130115175171,0.8962818748632054
2,0.7566784997940064,0.22315275153457598,0.7778390744689164
3,0.612473182272911,0.32264455583617374,0.6785120538845184
4,0.539452856850624,0.37114994591811035,0.6305547071869966
5,0.513727049946785,0.38947154194341715,0.6112294869058451
6,0.4856638750076294,0.4577296171281901,0.543731848905041
7,0.4535940303087235,0.446796453687089,0.553588085113817
8,0.43571448206901553,0.46819038634055865,0.5325037180238469
9,0.428703666806221,0.48417355239783416,0.5166355155076191
10,0.41040996115207673,0.4200752209778493,0.5803467578189389
11,0.39921823315620425,0.4808260788959723,0.5196297552175583
12,0.3884380529642105,0.43909567439014263,0.5614765688871882
13,0.3784745002031326,0.4721416139029756,0.5283193436397868
14,0.37547420055866243,0.49095107573262853,0.5092095083491818
15,0.36054455440044403,0.4932903372515638,0.5071959825837689
16,0.35701773495674133,0.51436974313428,0.4861671973945229
17,0.35627093896865847,0.5183142983005428,0.48219576041409923
18,0.34688400869369507,0.5158834682183814,0.4845204057207533
19,0.3402859433889389,0.5021131420849646,0.49841581977856386
20,0.3362434171915054,0.4531364152750514,0.5469914188810215
21,0.32925854182243347,0.5102032687687013,0.4900999874066395
22,0.32907616143226626,0.5301823073714139,0.47031627946598514
23,0.3207685321569443,0.5281917148853437,0.4721053231293988
24,0.3278053131818771,0.49674506728340323,0.5032797774691491
25,0.32116155660152435,0.5125447226804721,0.48770362214677654
26,0.32385504786968233,0.5197635726491746,0.4805756158130184
27,0.31776761984825136,0.4893200065196652,0.5107538954467531
28,0.3129559703588486,0.525075007312804,0.47493669257801807
29,0.31275698425769805,0.5093837023525368,0.4907226980112161
30,0.3143752869606018,0.502021535304085,0.49804303372741504
31,0.3047956579208374,0.5109839963142695,0.48910846755762766
32,0.29765431299209594,0.5368555681683319,0.46324364546757596
33,0.292220379281044,0.4848571877363883,0.515183757824503
34,0.3033510248422623,0.523425951704551,0.4767902641539361
35,0.2998691904783249,0.5302681531915615,0.46999257005703676
36,0.28993367400169373,0.5224065018380971,0.4776916564649837
37,0.29243599915504453,0.5485892718117578,0.451505317429828
38,0.29691776268482206,0.5270335293342588,0.4729985272049145
39,0.28923057169914246,0.5322590277506296,0.46787287589091403
40,0.2836658874511719,0.5239916924853559,0.47597072990077316
41,0.29022202277183534,0.5114314812464027,0.4887884703411418
42,0.2885655126094818,0.526079984672133,0.47394652693134964
43,0.290147718667984,0.5345349685413912,0.4654867128961405
44,0.28126035754680634,0.5308310114029332,0.46924073984668513
45,0.27934206717014315,0.510469428223868,0.48949528993315
