epoch,train_loss,dev_dice,dev_loss
1,-0.18362505041623692,0.35186176860127794,-0.3244300599545351
2,-0.3845090823005776,0.3528755977437635,-0.2963202659364989
3,-0.4478395765895966,0.3906223368551529,-0.37123880699121703
4,-0.49598477959496917,0.3862984249617395,-0.3687413372226902
5,-0.4827569858228625,0.494389093126077,-0.47991396979362305
6,-0.5215299071204442,0.46270839719722673,-0.446427454041051
7,-0.5403213964090392,0.49399409234717867,-0.47954173984638016
8,-0.5345503239203842,0.41732705536248604,-0.4022616024184529
9,-0.5576203734600973,0.3735536800218624,-0.35105168210741666
10,-0.5681024120441622,0.5072917091979132,-0.49335009625370035
11,-0.5597757414101017,0.46364444068786226,-0.4515818295506982
12,-0.5824669883585071,0.47982789245627433,-0.4653834962496711
13,-0.5970556937330916,0.5216693616702441,-0.5080461009023046
14,-0.600792188959797,0.490386990242092,-0.47573160523925684
15,-0.6138277720033646,0.49246329463083216,-0.4791610098255443
16,-0.6217506204781176,0.4894691801902759,-0.4757004273567526
17,-0.6029370117295205,0.5336207143003303,-0.5224708591504688
18,-0.6363958519313522,0.5435199556597244,-0.5324611439790932
19,-0.630222140855842,0.5374365315348739,-0.5243126533049647
20,-0.6392393292007997,0.5534952688420117,-0.5407391849788837
21,-0.6316559422319131,0.5345150342006446,-0.5232323958294555
22,-0.6439823709570409,0.530645825159273,-0.5194587574950198
23,-0.664472319875711,0.54370680354403,-0.5336924446447353
24,-0.660860235488131,0.47130821465416733,-0.4606694887159392
25,-0.6634402874033904,0.5459449534034942,-0.5341043336522056
26,-0.6547765781530218,0.5182370860464685,-0.5068053761242135
27,-0.6666584856608856,0.47871286689213316,-0.4689675741573973
28,-0.6683336026212524,0.5598854945442048,-0.5487020378256039
29,-0.6669192770325715,0.5432402315840181,-0.5322887354053646
30,-0.6804814111418761,0.5205212714450611,-0.509319774102464
31,-0.6823063665789907,0.5004332154909679,-0.4863370333792686
32,-0.6884934361177475,0.5576514331061827,-0.5475048390449956
33,-0.6958661290135919,0.5553671939325683,-0.5456249035140943
34,-0.7051610186033993,0.565421213674275,-0.5556224518145124
35,-0.6977075388547166,0.5325619035605972,-0.5180072763047757
36,-0.703274688927378,0.5435374252157825,-0.532612419159462
37,-0.6992424154059227,0.49997353128635835,-0.48468906846440707
38,-0.7115564650278907,0.5635072229991296,-0.5541015656465399
39,-0.7172140306163617,0.5354918013357601,-0.5252797024618346
40,-0.6977238169036123,0.5499153063931022,-0.5382764432745587
41,-0.7101172151581978,0.5567796778459492,-0.5469285099223877
42,-0.7218392759845458,0.502309206955681,-0.4922721049016608
43,-0.7110582813774112,0.45522379548482095,-0.44358062821418226
44,-0.7260570280194284,0.551502328166215,-0.5418160712296543
