bin_label,lower_percent,upper_percent,clean_count,augmented_count
0-9,0,9,108,120
10-19,10,19,34,35
20-29,20,29,26,45
30-39,30,39,43,37
40-49,40,49,46,49
50-59,50,59,70,68
60-69,60,69,75,72
70-79,70,79,118,127
80-89,80,89,124,95
90-100,90,100,9,5
