epoch,train_loss,dev_dice,dev_loss
1,0.8949344258701972,0.07664512149619526,0.9257677027157375
2,0.7880151549523527,0.20979103652583175,0.7917259221985227
3,0.6457906397121945,0.2654869972738147,0.7362399969782149
4,0.5834138828316374,0.2669674059344282,0.7342507231803167
5,0.546969315224287,0.38067076196102345,0.6239149332046509
6,0.5049270469178423,0.40726433004578494,0.593607497215271
7,0.48212661020208203,0.4080884667715311,0.5922605122838701
8,0.4659388923046121,0.31643309579456647,0.6851307903017316
9,0.44860390441839776,0.4203739691389213,0.5801124811172486
10,0.44256362450892844,0.4568343245904976,0.5443056083860851
11,0.4230991171307541,0.466717265569567,0.5339986324310303
12,0.4189826224052735,0.47790926082782953,0.5236954041889735
13,0.40467111727124766,0.47284102652517973,0.5287001115935189
14,0.40894381798197776,0.4676950254902011,0.532704610483987
15,0.3895928284696985,0.503144521250891,0.4979580572673253
16,0.38374365734284005,0.48537175099008406,0.5158327789533705
17,0.37790587408976123,0.4870522647879384,0.5136491185142881
18,0.36382529424708426,0.5200760505306761,0.4801666378974915
19,0.36577532426164483,0.4162654803812518,0.58448478721437
20,0.3578817134268546,0.5033339131488717,0.49694150118600755
21,0.3460964667454861,0.513240839988519,0.4867440218017215
22,0.3436704250542741,0.4599919923839269,0.5408377420334589
23,0.33842580662104504,0.49160836571406774,0.5087214078222002
24,0.33688077491008495,0.5168646167715603,0.4841505192575001
25,0.32776246729649994,0.4623327645243414,0.5373733486448016
26,0.3416609384083862,0.5074896842553387,0.4926556836991083
27,0.32915910336959875,0.473672105787715,0.526190676007952
28,0.324426525874001,0.4839140033263682,0.5163415732837858
