fold_index,run_dir,expected_test_subjects,clean_subjects,augmented_subjects,clean_dice_mean,augmented_dice_mean,fold_robustness_delta_mean,clean_jaccard_mean,augmented_jaccard_mean,clean_precision_mean,augmented_precision_mean,clean_recall_mean,augmented_recall_mean,clean_abs_volume_diff_ratio_mean,augmented_abs_volume_diff_ratio_mean
0,<REPO_ROOT>/runs/mednext/run_kfold_01,131,131,131,0.5198107535083176,0.4677834784840786,0.05202727502423904,0.40945676965511907,0.35941187841551564,0.7638677597607653,0.668868229024725,0.5049254831639027,0.456773388839715,0.8093634685577116,1.0053363641738349
1,<REPO_ROOT>/runs/mednext/run_kfold_02,131,131,131,0.5092401085728095,0.47658894334822033,0.03265116522458922,0.39766772011630347,0.3682940435455448,0.6605222506944783,0.6239704885257429,0.5029177054909703,0.4753857572037339,9.473194286678822,6.340768857154018
2,<REPO_ROOT>/runs/mednext/run_kfold_03,131,131,131,0.5297086328593638,0.48254142318238813,0.04716720967697563,0.4140187666722226,0.37119626370926617,0.6746040466080878,0.6018565487796103,0.5258331277207752,0.46902149054487013,1.1125593360899706,1.2581667858831385
3,<REPO_ROOT>/runs/mednext/run_kfold_04,130,130,130,0.5349334174368305,0.4936089024792632,0.04132451495756734,0.42330946311878936,0.38283252697098513,0.6136823073309,0.5586218433535842,0.6147473945655817,0.5728118246796304,0.9599375121957392,0.9956312206890208
4,<REPO_ROOT>/runs/mednext/run_kfold_05,130,130,130,0.5852595287567485,0.540985642522405,0.044273886234343474,0.46238908822659563,0.4192919552614416,0.7133438285039853,0.6821022636729803,0.5961699434502061,0.5425793904398113,0.6344013674682075,0.8563835509389927
