bin_label,lower_percent,upper_percent,clean_count,augmented_count
0-9,0,9,107,129
10-19,10,19,32,27
20-29,20,29,28,37
30-39,30,39,31,40
40-49,40,49,40,50
50-59,50,59,55,64
60-69,60,69,79,73
70-79,70,79,129,114
80-89,80,89,135,110
90-100,90,100,17,9
