fold_index,run_dir,expected_test_subjects,clean_subjects,augmented_subjects,clean_dice_mean,augmented_dice_mean,fold_robustness_delta_mean,clean_jaccard_mean,augmented_jaccard_mean,clean_precision_mean,augmented_precision_mean,clean_recall_mean,augmented_recall_mean,clean_abs_volume_diff_ratio_mean,augmented_abs_volume_diff_ratio_mean
0,<REPO_ROOT>/runs/mednext/run_DA_kfold_01,131,131,131,0.5409329974136012,0.510398696623726,0.03053430078987529,0.42571005715949334,0.3946804060678086,0.7353182479361123,0.6855693428429047,0.5417866358677498,0.5079945807822066,0.7149210197303701,0.747880383662444
1,<REPO_ROOT>/runs/mednext/run_DA_kfold_02,131,131,131,0.5039801778065054,0.472550814333724,0.03142936347278141,0.3973373830139207,0.36841761169777837,0.6954704070684506,0.6622757303437897,0.4996376649403764,0.4723526905212379,9.790448261982107,9.905853470724109
2,<REPO_ROOT>/runs/mednext/run_DA_kfold_03,131,131,131,0.5389759677539452,0.5045584501213641,0.03441751763258105,0.4234380893780016,0.39218075354673565,0.6582829799058151,0.6002472373392761,0.5659798042341008,0.5348402337498209,1.4104111764731222,1.4600875500553954
3,<REPO_ROOT>/runs/mednext/run_DA_kfold_04,130,130,130,0.5575013284780304,0.5367217115415405,0.020779616936489886,0.44802880767149933,0.4244499865376196,0.6989167440649645,0.656713836023916,0.5628134278207544,0.5403191441918341,0.59349196438192,0.5945949001137986
4,<REPO_ROOT>/runs/mednext/run_DA_kfold_05,130,130,130,0.5745335816554764,0.5471331951572849,0.027400386498191542,0.44847416246776534,0.42208404336971783,0.616812628061087,0.5926018537141162,0.658126338374973,0.6256886896328235,0.8657952847640042,1.0150963046889396
