bin_label,lower_percent,upper_percent,clean_count,augmented_count
0-9,0,9,102,115
10-19,10,19,31,31
20-29,20,29,32,31
30-39,30,39,29,36
40-49,40,49,42,49
50-59,50,59,53,64
60-69,60,69,84,74
70-79,70,79,120,119
80-89,80,89,142,124
90-100,90,100,18,10
