bin_label,lower_percent,upper_percent,clean_count,augmented_count
0-9,0,9,102,133
10-19,10,19,31,27
20-29,20,29,32,40
30-39,30,39,41,45
40-49,40,49,46,48
50-59,50,59,72,77
60-69,60,69,64,67
70-79,70,79,120,106
80-89,80,89,126,96
90-100,90,100,19,14
