fold_index,run_dir,expected_test_subjects,clean_subjects,augmented_subjects,clean_dice_mean,augmented_dice_mean,fold_robustness_delta_mean,clean_jaccard_mean,augmented_jaccard_mean,clean_precision_mean,augmented_precision_mean,clean_recall_mean,augmented_recall_mean,clean_abs_volume_diff_ratio_mean,augmented_abs_volume_diff_ratio_mean
0,<REPO_ROOT>/runs/uxnet/run_kfold_01,131,131,131,0.5472845948482584,0.4680190978133656,0.07926549703489283,0.42046689368132745,0.3513343760732521,0.6037719896144631,0.5081818394690928,0.5802794670926529,0.5371282210648834,0.6743307018049314,2.6791001904232186
1,<REPO_ROOT>/runs/uxnet/run_kfold_02,131,131,131,0.4834832355174366,0.4555712919830016,0.02791194353443499,0.37609562264920376,0.3486181044296625,0.6505567531197533,0.6220415951552063,0.48894393401495584,0.4557610165564097,9.065065003724996,8.996726763159895
2,<REPO_ROOT>/runs/uxnet/run_kfold_03,131,131,131,0.49286275068612223,0.4438921369866248,0.048970613699497456,0.3925698882942795,0.348662209303526,0.6685780439234771,0.5919146914159564,0.511936259834671,0.4680222703678591,1.2497038610856457,1.6751233522687672
3,<REPO_ROOT>/runs/uxnet/run_kfold_04,130,130,130,0.5447130416799467,0.4969361094949942,0.04777693218495249,0.4288892891344027,0.3836341830862772,0.7291507229970555,0.6511399198865647,0.5224187882379187,0.48244263795468106,0.46901362081753,1.6859943337788705
4,<REPO_ROOT>/runs/uxnet/run_kfold_05,130,130,130,0.5709112656995265,0.5328302803032857,0.03808098539624083,0.44368731474005824,0.40736702647541856,0.7000290673415033,0.651050495465528,0.5756255153240084,0.5388517808688109,0.6009071311514543,0.9463443056999311
