bin_label,lower_percent,upper_percent,clean_count,augmented_count
0-9,0,9,102,131
10-19,10,19,32,29
20-29,20,29,31,38
30-39,30,39,33,40
40-49,40,49,52,57
50-59,50,59,73,69
60-69,60,69,89,90
70-79,70,79,98,100
80-89,80,89,131,95
90-100,90,100,12,4
