epoch,train_loss,dev_dice,dev_loss
1,-0.22635785575734918,0.3834476574714291,-0.35518580546437994
2,-0.42184215462822466,0.42448305718745627,-0.40771734614072036
3,-0.4833106243395945,0.4910458660119156,-0.46943641384725404
4,-0.5134088092558086,0.49529212120542815,-0.4849398476156928
5,-0.5401167324653361,0.5020143515254963,-0.48952052082160524
6,-0.532601032929821,0.5153321439916378,-0.5013008102534374
7,-0.552104638225725,0.4920427293076202,-0.4795417677597024
8,-0.5841046783435624,0.5217228684719964,-0.509243490289345
9,-0.5826613718521315,0.2899497992607675,-0.2677938332054527
10,-0.5997671614507679,0.5234406040312365,-0.5117217984568079
11,-0.6136330706056673,0.5137776506911942,-0.503533237472482
12,-0.6162689022601117,0.42173655156670325,-0.39970963462634057
13,-0.6158843226030469,0.5222481364958722,-0.5046088045405871
14,-0.6351602732615079,0.5328555315287388,-0.5219870194330052
15,-0.6319058243075386,0.24441260145113952,-0.22145362902146462
16,-0.636870955071086,0.48416909169103756,-0.47237416471586013
17,-0.6479337596456985,0.5144400373021448,-0.5048984155009922
18,-0.6490280673608649,0.49666645505572754,-0.4825149394874313
19,-0.6635051963596604,0.5200183989088695,-0.5089082632497084
20,-0.6643203472279477,0.5249431842116243,-0.5128236858668784
21,-0.6614540405654349,0.48267610267230243,-0.46858276190476456
22,-0.6635846402813215,0.5020191758184512,-0.4907009660594082
23,-0.6732082048531621,0.525128649900262,-0.5122265758142647
24,-0.670791831403831,0.5199656784901714,-0.5093756181775195
