epoch,train_loss,dev_dice,dev_loss
1,0.9063915220274628,0.13068342480422862,0.9117437961555662
2,0.7308134926880578,0.24570529339993685,0.7956068552675701
3,0.6349205889022179,0.32964393576247064,0.7061893085638682
4,0.582538155901382,0.39817156451890195,0.6340650322891417
5,0.5447567340111632,0.38510821658825733,0.643530042114712
6,0.529983163929636,0.452917682801615,0.5772956535220146
7,0.4960111858327683,0.4153347674663445,0.6069396358870325
8,0.4815151525719417,0.41290179806317356,0.6133153439987273
9,0.4770913670683722,0.44747370916520207,0.5765852970736367
10,0.45895164412595957,0.46829301965545655,0.5515721814973014
11,0.43797525974790114,0.4552999551295405,0.5655637466481753
12,0.4299277653850669,0.47110837788870447,0.5488363910289038
13,0.4145351576594283,0.49797350913471067,0.5219935849308968
14,0.4118776533538275,0.4770125346499145,0.5425523958035878
15,0.3910193936966306,0.46063419927679666,0.5576376295515469
16,0.3819693708412653,0.44582560647825525,0.5708693996071815
17,0.38239704642882594,0.5195339008059646,0.4990240049504098
18,0.36950788132363943,0.5272421674298485,0.4920057797715777
19,0.35925582014649604,0.5129860381788034,0.5043193350235621
20,0.3456380137240143,0.5193315721785087,0.4997998994021189
21,0.3536922541632355,0.5286945966671351,0.4878330965127264
22,0.33426214816669625,0.5276316731890388,0.49141933258090703
23,0.330009169429898,0.5289779461866976,0.4898636851282347
24,0.3212264424516,0.5406253007819511,0.4774318311186064
25,0.327919906527876,0.5157107815020213,0.501661447825886
26,0.31675473018605216,0.5392220526552893,0.47890633947792505
27,0.2983568737091278,0.5455012422986647,0.4718632922995658
28,0.3037835396156251,0.5238878542116673,0.49406493923493794
29,0.30655630899937175,0.5197782525368686,0.5008711017313457
30,0.2967489270104779,0.5501602924774299,0.46738093289591015
31,0.2934051432358704,0.5402419604017246,0.4769726056428183
32,0.2906278216411813,0.5398898959712071,0.47687915144931703
33,0.27915479010082694,0.5482861137667597,0.4687628800670306
34,0.29242417767054313,0.5241994038827044,0.4966856815985271
35,0.27955545393897474,0.554307025140311,0.4616699503291221
36,0.2783776516724619,0.5602953855926004,0.4579620946021307
37,0.27372615859001803,0.5476018041393224,0.46884430873961674
38,0.27888181754466085,0.5152656518631217,0.5028426395285697
39,0.2679683471978497,0.5568302877898842,0.4581866973922366
40,0.2698967692127331,0.5621073290812527,0.4539160255165327
41,0.26081704668146816,0.5111695284566208,0.5114100619440987
42,0.27051077393381645,0.5570964304669138,0.4582747152163869
43,0.2573021925914345,0.5099122285135332,0.5065682740438552
44,0.2573438158629538,0.5390189796274812,0.4757705419546082
45,0.26560165620759596,0.5404115437385998,0.4746595094601313
