fold_index,run_dir,expected_test_subjects,clean_subjects,augmented_subjects,clean_dice_mean,augmented_dice_mean,fold_robustness_delta_mean,clean_jaccard_mean,augmented_jaccard_mean,clean_precision_mean,augmented_precision_mean,clean_recall_mean,augmented_recall_mean,clean_abs_volume_diff_ratio_mean,augmented_abs_volume_diff_ratio_mean
0,<REPO_ROOT>/runs/base_cnn/run_kfold_01,131,131,131,0.5115250705555207,0.45253349671037046,0.05899157384515019,0.39319702510511284,0.3426054590975007,0.6315346497931364,0.53182149695057,0.5512648675387902,0.49442071536768945,1.3198010548967107,3.2031584956233337
1,<REPO_ROOT>/runs/base_cnn/run_kfold_02,131,131,131,0.4976056834624127,0.4232442515526551,0.07436143190975758,0.38476364113805595,0.3172730363780542,0.6146617351238907,0.501442353931211,0.5139398508592484,0.47127451894934363,9.436494244864837,9.235132097542905
2,<REPO_ROOT>/runs/base_cnn/run_kfold_03,131,131,131,0.49747704345535587,0.4612464038263144,0.036230639629041494,0.38965096891525275,0.3558010986195412,0.6626223777292748,0.6220689861983337,0.5073138190355819,0.4599187482881838,1.400015067177369,1.586086858559919
3,<REPO_ROOT>/runs/base_cnn/run_kfold_04,130,130,130,0.5181580349495674,0.4773113911189411,0.04084664383062625,0.4010523668378242,0.3668472244509212,0.5988719056309256,0.5394265137825989,0.5662860178025478,0.5280142742416143,0.7641626602428518,2.3581029899837205
4,<REPO_ROOT>/runs/base_cnn/run_kfold_05,130,130,130,0.5690119807937563,0.5335609463045806,0.03545103448917564,0.4430341058506903,0.40922331812906115,0.6300548925922433,0.6168825654181342,0.5938051897458991,0.5476805856480315,0.6574291134914537,1.0802757760141717
