bin_label,lower_percent,upper_percent,clean_count,augmented_count
0-9,0,9,110,141
10-19,10,19,29,30
20-29,20,29,35,37
30-39,30,39,36,49
40-49,40,49,46,43
50-59,50,59,64,58
60-69,60,69,79,78
70-79,70,79,129,126
80-89,80,89,120,88
90-100,90,100,5,3
