lesion_size_bin,lesion_size_bin_label,lesion_voxel_range,model_architecture,training_condition,evaluation_condition,n_folds,total_subjects,mean_fold_mean_dice,std_fold_mean_dice,mean_fold_failure_rate_dice_lt_0_1,std_fold_failure_rate_dice_lt_0_1,mean_fold_strong_rate_dice_ge_0_7,std_fold_strong_rate_dice_ge_0_7
1,"[13, 1159)","[13, 1159)",Base CNN,Augmented,artifact,5,163,0.294768402,0.03357562062,0.4285984848,0.07999870867,0.1287878788,0.02286103315
1,"[13, 1159)","[13, 1159)",Base CNN,Augmented,clean,5,163,0.3074300203,0.04375383481,0.4223484848,0.08948337527,0.1537878788,0.0296666125
1,"[13, 1159)","[13, 1159)",Base CNN,Standard,artifact,5,163,0.2541254705,0.07452194474,0.5142045455,0.1377272936,0.08636363636,0.06984349305
1,"[13, 1159)","[13, 1159)",Base CNN,Standard,clean,5,163,0.3024485729,0.0709332669,0.434280303,0.1239302249,0.1354166667,0.06468849742
1,"[13, 1159)","[13, 1159)",MedNeXt,Augmented,artifact,5,163,0.3132470594,0.05621997806,0.4227272727,0.09611364562,0.1475378788,0.06924777017
1,"[13, 1159)","[13, 1159)",MedNeXt,Augmented,clean,5,163,0.3398190669,0.04547932655,0.4166666667,0.09090909091,0.178219697,0.06668280624
1,"[13, 1159)","[13, 1159)",MedNeXt,Standard,artifact,5,163,0.2779927834,0.06384535915,0.4964015152,0.1036841441,0.1660984848,0.05897302733
1,"[13, 1159)","[13, 1159)",MedNeXt,Standard,clean,5,163,0.3215997129,0.06659902157,0.4535984848,0.07710915545,0.209280303,0.06841290804
1,"[13, 1159)","[13, 1159)",Swin UNETR,Augmented,artifact,5,163,0.2945987313,0.0334378405,0.4715909091,0.06860140256,0.1295454545,0.07260090031
1,"[13, 1159)","[13, 1159)",Swin UNETR,Augmented,clean,5,163,0.3297430946,0.04394418982,0.4160984848,0.09963561366,0.1721590909,0.0674529646
1,"[13, 1159)","[13, 1159)",Swin UNETR,Standard,artifact,5,163,0.2590837345,0.05314243612,0.5085227273,0.08401494658,0.08617424242,0.05969966153
1,"[13, 1159)","[13, 1159)",Swin UNETR,Standard,clean,5,163,0.3296767544,0.07324076946,0.3852272727,0.1087431325,0.1473484848,0.07183400286
1,"[13, 1159)","[13, 1159)",UXNet,Augmented,artifact,5,163,0.3119911245,0.05030907837,0.4289772727,0.09524462849,0.1598484848,0.03697016269
1,"[13, 1159)","[13, 1159)",UXNet,Augmented,clean,5,163,0.343711687,0.05502734184,0.4106060606,0.1025837023,0.2090909091,0.05107108628
1,"[13, 1159)","[13, 1159)",UXNet,Standard,artifact,5,163,0.281989656,0.06170374951,0.4839015152,0.09648315439,0.1541666667,0.06901427834
1,"[13, 1159)","[13, 1159)",UXNet,Standard,clean,5,163,0.3420351477,0.06198576504,0.3918560606,0.1161564008,0.1973484848,0.08608074348
2,"[1159, 5290)","[1159, 5290)",Base CNN,Augmented,artifact,5,163,0.4113908638,0.02437891807,0.2024621212,0.04535342287,0.1901515152,0.02275408772
2,"[1159, 5290)","[1159, 5290)",Base CNN,Augmented,clean,5,163,0.4497610767,0.01787656502,0.1598484848,0.04192156878,0.2085227273,0.02200884704
2,"[1159, 5290)","[1159, 5290)",Base CNN,Standard,artifact,5,163,0.3916141685,0.05457635204,0.2274621212,0.03451129691,0.1895833333,0.05733477279
2,"[1159, 5290)","[1159, 5290)",Base CNN,Standard,clean,5,163,0.4366312094,0.04810645456,0.1787878788,0.0591879545,0.2509469697,0.05025902831
2,"[1159, 5290)","[1159, 5290)",MedNeXt,Augmented,artifact,5,163,0.4370143029,0.02665937556,0.1723484848,0.07783837458,0.2333333333,0.03264285725
2,"[1159, 5290)","[1159, 5290)",MedNeXt,Augmented,clean,5,163,0.4673557961,0.02222329304,0.1295454545,0.0616575453,0.2452651515,0.02581599881
2,"[1159, 5290)","[1159, 5290)",MedNeXt,Standard,artifact,5,163,0.4223808929,0.04469088339,0.1784090909,0.04676381442,0.1962121212,0.05917886325
2,"[1159, 5290)","[1159, 5290)",MedNeXt,Standard,clean,5,163,0.4690434679,0.03877104862,0.1354166667,0.04748465268,0.2452651515,0.07858821583
2,"[1159, 5290)","[1159, 5290)",Swin UNETR,Augmented,artifact,5,163,0.4384717912,0.02223578612,0.1721590909,0.03322986697,0.2390151515,0.03900595655
2,"[1159, 5290)","[1159, 5290)",Swin UNETR,Augmented,clean,5,163,0.4683669952,0.02091922256,0.1414772727,0.0267146177,0.2698863636,0.04464236521
2,"[1159, 5290)","[1159, 5290)",Swin UNETR,Standard,artifact,5,163,0.4189445774,0.04455471214,0.1909090909,0.07065587071,0.1714015152,0.07093555256
2,"[1159, 5290)","[1159, 5290)",Swin UNETR,Standard,clean,5,163,0.4576849094,0.03311940139,0.1534090909,0.03840075966,0.2390151515,0.04822893518
2,"[1159, 5290)","[1159, 5290)",UXNet,Augmented,artifact,5,163,0.4207525775,0.04727098614,0.203219697,0.06546458432,0.2085227273,0.06269025221
2,"[1159, 5290)","[1159, 5290)",UXNet,Augmented,clean,5,163,0.4528267631,0.04544996168,0.1662878788,0.06178307827,0.2446969697,0.08682756838
2,"[1159, 5290)","[1159, 5290)",UXNet,Standard,artifact,5,163,0.4151162756,0.07819395223,0.2043560606,0.1471828546,0.1840909091,0.06086179473
2,"[1159, 5290)","[1159, 5290)",UXNet,Standard,clean,5,163,0.4638145503,0.06939039779,0.1424242424,0.09070882297,0.2570075758,0.05376119697
3,"[5290, 36236)","[5290, 36236)",Base CNN,Augmented,artifact,5,163,0.535634651,0.0717376307,0.08617424242,0.0415632325,0.3681818182,0.08800278608
3,"[5290, 36236)","[5290, 36236)",Base CNN,Augmented,clean,5,163,0.5784956706,0.0633146915,0.06761363636,0.03568254197,0.4107954545,0.1084226957
