lesion_size_bin,lesion_size_bin_label,lesion_voxel_range,model_architecture,training_condition,evaluation_condition,n_subjects,mean_dice,median_dice,std_dice,iqr_dice,failure_rate_dice_lt_0_1,strong_rate_dice_ge_0_7,mean_precision,mean_recall,mean_volume_similarity
3,"[5290, 36236)","[5290, 36236)",Base CNN,Augmented,clean,163,0.5784828932,0.643582586,0.2459568475,0.3557610345,0.06748466258,0.4110429448,0.6858809259,0.5719134122,
3,"[5290, 36236)","[5290, 36236)",Base CNN,Standard,artifact,163,0.5257638411,0.6183647508,0.2629380955,0.4374849681,0.1104294479,0.3374233129,0.6132089818,0.5375705542,
3,"[5290, 36236)","[5290, 36236)",Base CNN,Standard,clean,163,0.5921061027,0.6607009335,0.2330782727,0.3211604594,0.05521472393,0.4110429448,0.6959032188,0.5926160166,
3,"[5290, 36236)","[5290, 36236)",MedNeXt,Augmented,artifact,163,0.5696024518,0.6493906001,0.2548812526,0.3651103706,0.08588957055,0.4171779141,0.6749226307,0.5581214401,
3,"[5290, 36236)","[5290, 36236)",MedNeXt,Augmented,clean,163,0.595507569,0.6893245564,0.257865553,0.3343106152,0.06748466258,0.4846625767,0.7132515869,0.5931069245,
3,"[5290, 36236)","[5290, 36236)",MedNeXt,Standard,artifact,163,0.5352693558,0.6152238806,0.2617944609,0.380503242,0.1042944785,0.3496932515,0.6768788926,0.5095279544,
3,"[5290, 36236)","[5290, 36236)",MedNeXt,Standard,clean,163,0.5825598226,0.6556143445,0.252711481,0.3636529175,0.06134969325,0.4662576687,0.7118392178,0.5625231958,
3,"[5290, 36236)","[5290, 36236)",Swin UNETR,Augmented,artifact,163,0.5599689902,0.6268912806,0.2410095082,0.3868778622,0.0736196319,0.3742331288,0.6910159308,0.5399043958,
3,"[5290, 36236)","[5290, 36236)",Swin UNETR,Augmented,clean,163,0.5987771481,0.6747820227,0.2319029833,0.3500765954,0.0490797546,0.4539877301,0.7117333917,0.582771038,
3,"[5290, 36236)","[5290, 36236)",Swin UNETR,Standard,artifact,163,0.5208755931,0.5568718,0.2491349281,0.3504659984,0.07975460123,0.282208589,0.6681967252,0.4920485088,
3,"[5290, 36236)","[5290, 36236)",Swin UNETR,Standard,clean,163,0.5684349871,0.6325340879,0.2481303746,0.325534855,0.0736196319,0.3435582822,0.7161547559,0.5388945192,
3,"[5290, 36236)","[5290, 36236)",UXNet,Augmented,artifact,163,0.538716358,0.6111302289,0.2658103777,0.3887418113,0.1165644172,0.3742331288,0.6529264514,0.5223956487,
3,"[5290, 36236)","[5290, 36236)",UXNet,Augmented,clean,163,0.5794932189,0.6546866772,0.2489763721,0.3499433714,0.0736196319,0.4233128834,0.701237893,0.5588408444,
3,"[5290, 36236)","[5290, 36236)",UXNet,Standard,artifact,163,0.5227652087,0.5559451154,0.251465953,0.3862538963,0.09202453988,0.3374233129,0.662415477,0.4955058103,
3,"[5290, 36236)","[5290, 36236)",UXNet,Standard,clean,163,0.5778739176,0.6488064874,0.2475498323,0.3847368505,0.06748466258,0.4294478528,0.7151239201,0.5427355669,
4,"[36236, 496656]","[36236, 496656]",Base CNN,Augmented,artifact,164,0.7049645971,0.7688407707,0.196369484,0.17378988,0.01829268293,0.7012195122,0.8044046662,0.6726319142,
4,"[36236, 496656]","[36236, 496656]",Base CNN,Augmented,clean,164,0.7372235949,0.795788201,0.1771866045,0.1512871051,0.01219512195,0.762195122,0.82753108,0.7089393918,
