epoch,train_loss,dev_dice,dev_loss
1,0.8928325624343311,0.21280915886241714,0.8254093551919574
2,0.6868183012276389,0.2790250542688587,0.7482074861015592
3,0.5905290893836027,0.3502383681456109,0.6759173573482604
4,0.5373091225882182,0.38043327169864344,0.6415718023266112
5,0.5098738088784962,0.36794760950151245,0.6539195571626936
6,0.4810154594962249,0.4224413341737591,0.5959139694770177
7,0.459479720358465,0.44322438260006364,0.5794159501081422
8,0.4491282624090046,0.4331465820380957,0.5858899533748627
9,0.4347038777170783,0.42547593091716607,0.5907367040004049
10,0.4272810008697675,0.45404715043532023,0.5623109602502414
11,0.39845938450750407,0.4413825507490074,0.582977117456141
12,0.40879795962775295,0.44620000094226336,0.5776406568430719
13,0.40443899657167315,0.45194306487750124,0.566507366512503
14,0.39111364080289907,0.47179516948508105,0.5440097030429613
15,0.38150593729324317,0.4651380899248272,0.5512567559168452
16,0.3808995847452129,0.4817733178903819,0.5327095500770069
17,0.37036230012275384,0.45184548481415215,0.5622916062672932
18,0.36139924567567105,0.4625464194999419,0.5515221647563435
19,0.357070604241208,0.46802209440970927,0.5457175398156756
20,0.35081560759577884,0.43453230958288946,0.5795140475034714
21,0.33791661123036626,0.4647305924767858,0.5507866279000327
22,0.3491642779167118,0.46027084093363674,0.5529605995331491
23,0.34345645486916365,0.4798982070228549,0.5357305150656473
24,0.3287769593253874,0.4680315714067933,0.544776408729099
25,0.32228165386360513,0.46896249375300203,0.543617705929847
26,0.32836159345422067,0.49336112569891066,0.5215273518647466
27,0.3161788607488551,0.46488061303352934,0.548627305669444
28,0.32404580609382766,0.4857312744154417,0.529126658751851
29,0.3225928580290393,0.46531608376073125,0.5513417969147364
30,0.31205036109937223,0.4713647496608127,0.5414027172894705
31,0.3002801964496169,0.4661789251530426,0.5467300246868815
32,0.31100682898549337,0.470770605464154,0.5415155634284019
33,0.30515805490172365,0.47628455921555857,0.5372848771867298
34,0.29501252995055327,0.4575782804994703,0.5534798378036135
35,0.29405040716369185,0.4527235071609829,0.5592951389295714
36,0.29869822605343704,0.49502284210506325,0.5175722895633607
37,0.29582234844342586,0.45369313267914174,0.5588458747381255
38,0.28576744432476436,0.49531286694181625,0.518871062497298
39,0.2923267589476512,0.4994102515118942,0.5135636023112706
40,0.2846908859872932,0.4999049809888735,0.513552126288414
41,0.2777398948676875,0.49038680917477406,0.5235523747546332
42,0.27358742154194443,0.4855028718156099,0.5268762184040887
43,0.27186415095437033,0.48116108561616683,0.5314206724365552
44,0.27472651093913036,0.4713381144362433,0.5394055441021919
45,0.2763627072568965,0.4849522283415787,0.5274617635778018
