architecture,training_condition,lesion_size_bin,lesion_size_bin_label,lesion_voxel_range,n,clean_mean_dice,artifact_mean_dice,mean_dice_drop_clean_minus_artifact,median_dice_drop_clean_minus_artifact,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p,effect_size_paired_cohens_dz,clean_failure_rate_dice_lt_0_1,artifact_failure_rate_dice_lt_0_1,failure_rate_increase_artifact_minus_clean,clean_strong_rate_dice_ge_0_7,artifact_strong_rate_dice_ge_0_7,strong_rate_change_artifact_minus_clean,holm_family,source_metric_files,wilcoxon_p_holm
MedNeXt,Augmented,3,"[5290, 36236)","[5290, 36236)",163,0.5955075690046959,0.5696024518184892,0.02590511718620662,0.003252894449616184,0.013345659616057336,0.038899317018671116,9.362375321399095e-12,0.31414554425912894,0.06748466257668712,0.08588957055214724,0.018404907975460127,0.48466257668711654,0.4171779141104294,-0.06748466257668712,atlas_lesion_size_clean_artifact_drops,runs/mednext/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_clean_metrics.json,1.872475064279819e-10
MedNeXt,Augmented,4,"[36236, 496656]","[36236, 496656]",164,0.768571840893444,0.735711454343432,0.03286038655001188,0.0036549420361898233,0.02035388312841328,0.047306165436543,2.1919579218812422e-16,0.36937629450473586,0.012195121951219513,0.024390243902439025,0.012195121951219513,0.8048780487804879,0.75,-0.054878048780487854,atlas_lesion_size_clean_artifact_drops,runs/mednext/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_clean_metrics.json,5.9182863890793536e-15
MedNeXt,Standard,1,"[13, 1159)","[13, 1159)",163,0.32096951562315745,0.2776173967735286,0.043352118849628835,7.03564721140428e-11,0.024662131142414688,0.0637357242164598,0.00040474990279444986,0.33408772378131457,0.4539877300613497,0.49693251533742333,0.04294478527607365,0.2085889570552147,0.1656441717791411,-0.04294478527607362,atlas_lesion_size_clean_artifact_drops,runs/mednext/run_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_05/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_05/eval_local/test_clean_metrics.json,0.0020237495139722493
MedNeXt,Standard,2,"[1159, 5290)","[1159, 5290)",163,0.46926432880531294,0.42274528466596095,0.0465190441393521,0.0016741266898245843,0.02822536957694726,0.06623644815713621,9.906764255518982e-06,0.37442361279854675,0.13496932515337423,0.17791411042944785,0.04294478527607362,0.24539877300613497,0.19631901840490798,-0.04907975460122699,atlas_lesion_size_clean_artifact_drops,runs/mednext/run_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_05/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_05/eval_local/test_clean_metrics.json,9.906764255518982e-05
MedNeXt,Standard,3,"[5290, 36236)","[5290, 36236)",163,0.5825598225638061,0.5352693557524275,0.04729046681137851,0.005584390073312351,0.03242337390613456,0.0634123660974563,1.785467937421532e-14,0.4706965196224606,0.06134969325153374,0.10429447852760736,0.042944785276073615,0.4662576687116564,0.3496932515337423,-0.1165644171779141,atlas_lesion_size_clean_artifact_drops,runs/mednext/run_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_05/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_05/eval_local/test_clean_metrics.json,4.285123049811676e-13
MedNeXt,Standard,4,"[36236, 496656]","[36236, 496656]",164,0.768641519040418,0.731798673688161,0.03684284535225709,0.010132526795432584,0.027066143519015106,0.04790594565219449,7.348560255199562e-19,0.5305017310295933,0.006097560975609756,0.012195121951219513,0.006097560975609756,0.7987804878048781,0.7134146341463414,-0.08536585365853666,atlas_lesion_size_clean_artifact_drops,runs/mednext/run_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_05/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_05/eval_local/test_clean_metrics.json,2.278053679111864e-17
Swin UNETR,Augmented,1,"[13, 1159)","[13, 1159)",163,0.32926937375776083,0.2941276039726949,0.0351417697850659,4.241945087358488e-10,0.015885978109539935,0.054680605632534074,1.808359480969327e-05,0.27685569167227897,0.4171779141104294,0.4723926380368098,0.05521472392638038,0.17177914110429449,0.12883435582822086,-0.04294478527607362,atlas_lesion_size_clean_artifact_drops,runs/swin/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_clean_metrics.json,0.0001305479192808198
Swin UNETR,Augmented,2,"[1159, 5290)","[1159, 5290)",163,0.46864348849515325,0.4388004437744008,0.02984304472075254,0.0033336313418693697,0.0182084981521667,0.042937173159617474,3.0079991332795767e-06,0.3660345291084521,0.1411042944785276,0.17177914110429449,0.03067484662576689,0.26993865030674846,0.2392638036809816,-0.03067484662576686,atlas_lesion_size_clean_artifact_drops,runs/swin/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_clean_metrics.json,3.3087990466075344e-05
Swin UNETR,Augmented,3,"[5290, 36236)","[5290, 36236)",163,0.5987771481122514,0.5599689901642282,0.038808157948023135,0.006340397641801932,0.026688968809771264,0.05270539846134581,8.537411569569987e-12,0.45918627472571444,0.049079754601226995,0.0736196319018405,0.0245398773006135,0.4539877300613497,0.37423312883435583,-0.07975460122699385,atlas_lesion_size_clean_artifact_drops,runs/swin/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_clean_metrics.json,1.7928564296096972e-10
Swin UNETR,Augmented,4,"[36236, 496656]","[36236, 496656]",164,0.7567929912322845,0.7345471385226584,0.022245852709626205,0.004646681648823925,0.014326757932474291,0.031239821304599125,7.800532934075289e-17,0.40103342118883684,0.018292682926829267,0.024390243902439025,0.006097560975609758,0.7987804878048781,0.75,-0.04878048780487809,atlas_lesion_size_clean_artifact_drops,runs/swin/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_clean_metrics.json,2.1841492215410807e-15
