architecture,evaluation_condition,endpoint,n,mean_standard_dice,mean_augmented_dice,mean_augmented_minus_standard,median_augmented_minus_standard,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p,effect_size_paired_cohens_dz,holm_family,source_metric_files,wilcoxon_p_holm
Base CNN,clean,clean_dice_augmented_minus_standard,653,0.5186795153378758,0.5184842928717461,-0.00019522246612961865,0.0,-0.009800270453642663,0.009430806262944957,0.6272988737515754,-0.0015507097278822397,atlas_training_effect_clean,runs/base_cnn/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_clean_metrics.json,0.8781251727419326
Base CNN,artifact,artifact_dice_augmented_minus_standard,653,0.4694694759399102,0.4868362847628855,0.017366808822975338,2.777777746913581e-09,0.003375319141434786,0.03153940824474654,0.018658661302255505,0.09405308849832754,atlas_training_effect_artifact,runs/base_cnn/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/base_cnn/run_DA_kfold_05/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_clean_metrics.json,0.03731732260451101
MedNeXt,clean,clean_dice_augmented_minus_standard,653,0.5357160441690193,0.5431148790918172,0.007398834922797906,0.0,-0.004030191358159445,0.018830480201675485,0.4390625863709663,0.050390956419832614,atlas_training_effect_clean,runs/mednext/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_05/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_05/eval_local/test_clean_metrics.json,0.8781251727419326
MedNeXt,artifact,artifact_dice_augmented_minus_standard,653,0.4922251218179799,0.5141878725454394,0.02196275072745954,4.5408092992753464e-10,0.007835460269707583,0.036383399651733886,0.009672021970350293,0.11730393329158006,atlas_training_effect_artifact,runs/mednext/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_05/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_05/eval_local/test_clean_metrics.json,0.029016065911050878
Swin UNETR,clean,clean_dice_augmented_minus_standard,653,0.5241403263821112,0.5387052408141143,0.014564914432003088,0.005885237851734625,0.004629332890224672,0.02441492759026063,5.661311838969805e-05,0.10885627249084333,atlas_training_effect_clean,runs/swin/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_clean_metrics.json;runs/swin/run_kfold_01/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_01/eval_local/test_clean_metrics.json;runs/swin/run_kfold_02/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_02/eval_local/test_clean_metrics.json;runs/swin/run_kfold_03/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_03/eval_local/test_clean_metrics.json;runs/swin/run_kfold_04/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_04/eval_local/test_clean_metrics.json;runs/swin/run_kfold_05/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_05/eval_local/test_clean_metrics.json,0.0002264524735587922
Swin UNETR,artifact,artifact_dice_augmented_minus_standard,653,0.47583644158507377,0.507209721129038,0.03137327954396412,0.008794638310568037,0.018359971531864847,0.04420939207599034,2.5554017226633793e-07,0.1819581062708925,atlas_training_effect_artifact,runs/swin/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_clean_metrics.json;runs/swin/run_kfold_01/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_01/eval_local/test_clean_metrics.json;runs/swin/run_kfold_02/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_02/eval_local/test_clean_metrics.json;runs/swin/run_kfold_03/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_03/eval_local/test_clean_metrics.json;runs/swin/run_kfold_04/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_04/eval_local/test_clean_metrics.json;runs/swin/run_kfold_05/eval_local/test_augmented_metrics.json;runs/swin/run_kfold_05/eval_local/test_clean_metrics.json,1.0221606890653517e-06
UXNet,clean,clean_dice_augmented_minus_standard,653,0.5277592129818064,0.527306966277858,-0.000452246703948311,-1.576094737296785e-10,-0.010860684934221347,0.009809608135538304,0.2260180230750798,-0.0033942802871678945,atlas_training_effect_clean,runs/uxnet/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_05/eval_local/test_clean_metrics.json;runs/uxnet/run_kfold_01/eval_local/test_augmented_metrics.json;runs/uxnet/run_kfold_01/eval_local/test_clean_metrics.json;runs/uxnet/run_kfold_02/eval_local/test_augmented_metrics.json;runs/uxnet/run_kfold_02/eval_local/test_clean_metrics.json;runs/uxnet/run_kfold_03/eval_local/test_augmented_metrics.json;runs/uxnet/run_kfold_03/eval_local/test_clean_metrics.json;runs/uxnet/run_kfold_04/eval_local/test_augmented_metrics.json;runs/uxnet/run_kfold_04/eval_local/test_clean_metrics.json;runs/uxnet/run_kfold_05/eval_local/test_augmented_metrics.json;runs/uxnet/run_kfold_05/eval_local/test_clean_metrics.json,0.6780540692252394
UXNet,artifact,artifact_dice_augmented_minus_standard,653,0.4793412583190633,0.49520463175283924,0.015863373433775856,0.0,0.0029618882008933803,0.028338083747006297,0.3064502198615676,0.09543017274936619,atlas_training_effect_artifact,runs/uxnet/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/uxnet/run_DA_kfold_05/eval_local/test_augmented_metrics.json;runs/uxnet/run_DA_kfold_05/eval_local/test_clean_metrics.json;runs/uxnet/run_kfold_01/eval_local/test_augmented_metrics.json;runs/uxnet/run_kfold_01/eval_local/test_clean_metrics.json;runs/uxnet/run_kfold_02/eval_local/test_augmented_metrics.json;runs/uxnet/run_kfold_02/eval_local/test_clean_metrics.json;runs/uxnet/run_kfold_03/eval_local/test_augmented_metrics.json;runs/uxnet/run_kfold_03/eval_local/test_clean_metrics.json;runs/uxnet/run_kfold_04/eval_local/test_augmented_metrics.json;runs/uxnet/run_kfold_04/eval_local/test_clean_metrics.json;runs/uxnet/run_kfold_05/eval_local/test_augmented_metrics.json;runs/uxnet/run_kfold_05/eval_local/test_clean_metrics.json,0.3064502198615676
