architecture,training_condition,contrast,motion_acquisition,endpoint,endpoint_family,n_subjects,n_fold_predictions,mean_standard,mean_motion,mean_delta_motion_minus_standard,median_delta_motion_minus_standard,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p,effect_size_subject_average_paired_cohens_dz,holm_family,source_mrart_csv,wilcoxon_p_holm
mednext,standard,headmotion1_minus_standard,headmotion1,scan_positive,secondary,140,700,0.9928571428571429,0.9985714285714286,0.005714285714285714,0.0,0.0,0.012857142857142857,0.10247043485974941,0.13884804454134103,mrart_motion_scan_positive,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,0.6148226091584965
mednext,standard,headmotion2_minus_standard,headmotion2,predicted_lesion_volume_ml,primary,140,700,15.439885714285712,23.031591428571424,7.591705714285715,1.2650000000000001,5.745973714285714,9.568214535714283,2.2454581999470093e-13,0.651287213533728,mrart_motion_predicted_lesion_volume_ml,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,4.4909163998940186e-13
mednext,standard,headmotion2_minus_standard,headmotion2,largest_cc_volume_ml,primary,140,700,10.562755714285716,14.375437142857143,3.8126814285714286,0.5355000000000001,2.6964319642857144,4.950891321428571,1.0278870282124636e-09,0.5647912381867274,mrart_motion_largest_cc_volume_ml,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,4.111548112849854e-09
mednext,standard,headmotion2_minus_standard,headmotion2,connected_component_count_26conn,primary,140,700,64.67857142857143,78.88714285714286,14.208571428571428,6.0,9.07275,19.617214285714283,3.252280647079119e-06,0.44009133788119775,mrart_motion_connected_component_count_26conn,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,6.504561294158238e-06
mednext,standard,headmotion2_minus_standard,headmotion2,largest_cc_fraction_of_prediction,primary,140,700,0.6934385225536143,0.6487196728461428,-0.04471884970747143,-0.04341222275000001,-0.06472118281311465,-0.024214916698373216,0.0001306357470584405,-0.3576494462261214,mrart_motion_largest_cc_fraction_of_prediction,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,0.000783814482350643
mednext,standard,headmotion2_minus_standard,headmotion2,scan_positive,secondary,140,700,0.9928571428571429,0.9957142857142857,0.002857142857142857,0.0,-0.004285714285714286,0.011428571428571429,0.47950012218695337,0.059654234989446796,mrart_motion_scan_positive,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,1.0
swin_unetr,augmented,headmotion1_minus_standard,headmotion1,predicted_lesion_volume_ml,primary,140,700,114.07256571428572,123.62507142857143,9.552505714285713,6.717499999999994,7.501766821428571,11.72091935714286,5.151350635417205e-15,0.7498035744730445,mrart_motion_predicted_lesion_volume_ml,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,1.5454051906251615e-14
swin_unetr,augmented,headmotion1_minus_standard,headmotion1,largest_cc_volume_ml,primary,140,700,52.426170000000006,55.809734285714285,3.3835642857142854,2.8129999999999997,1.7976590357142856,4.9754024999999995,6.400064155146531e-06,0.35191742099316403,mrart_motion_largest_cc_volume_ml,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,1.2800128310293062e-05
swin_unetr,augmented,headmotion1_minus_standard,headmotion1,connected_component_count_26conn,primary,140,700,189.95285714285714,211.8,21.847142857142856,17.0,17.37242857142857,26.695892857142855,7.841157122056601e-19,0.7644287220746687,mrart_motion_connected_component_count_26conn,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,3.1364628488226405e-18
swin_unetr,augmented,headmotion1_minus_standard,headmotion1,largest_cc_fraction_of_prediction,primary,140,700,0.4506959096654285,0.4468033395742857,-0.003892570091142857,-0.0035004955999999865,-0.013020892924399998,0.00499459779938571,0.2197309167067153,-0.07142094437320111,mrart_motion_largest_cc_fraction_of_prediction,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,0.307199512957268
