architecture,training_condition,evaluation_condition,lesion_size_bin,lesion_size_bin_label,lesion_voxel_range,n,mean_dice,median_dice,iqr_dice,catastrophic_failure_rate_dice_lt_0_1,strong_performance_rate_dice_ge_0_7,mean_precision,mean_recall,median_predicted_voxel_count,median_ground_truth_voxel_count,source_metric_files
Base CNN,Standard,artifact,3,"[5290, 36236)","[5290, 36236)",163,0.5257638410808008,0.618364750802685,0.4374849681400865,0.11042944785276074,0.3374233128834356,0.6132089818020207,0.5375705542094795,11040.0,12541.0,runs/base_cnn/run_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_augmented_metrics.json
Base CNN,Standard,artifact,4,"[36236, 496656]","[36236, 496656]",164,0.7050078880470677,0.7672185656980715,0.15411661326662607,0.012195121951219513,0.7134146341463414,0.8011603443252762,0.673592201182247,79181.0,84688.0,runs/base_cnn/run_kfold_01/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_augmented_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_augmented_metrics.json
Base CNN,Standard,clean,1,"[13, 1159)","[13, 1159)",163,0.30166420301035207,0.2772041305491644,0.5653098390670336,0.43558282208588955,0.13496932515337423,0.45775769454718634,0.37080060555035305,340.0,509.0,runs/base_cnn/run_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_clean_metrics.json
Base CNN,Standard,clean,2,"[1159, 5290)","[1159, 5290)",163,0.4371607960949842,0.4668753261693075,0.5043243566172768,0.17791411042944785,0.25153374233128833,0.5365526648181062,0.49896837091637875,2277.0,2492.0,runs/base_cnn/run_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_clean_metrics.json
Base CNN,Standard,clean,3,"[5290, 36236)","[5290, 36236)",163,0.5921061027182266,0.6607009334605104,0.3211604593418075,0.05521472392638037,0.4110429447852761,0.6959032187994499,0.5926160165580265,10799.0,12541.0,runs/base_cnn/run_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_clean_metrics.json
Base CNN,Standard,clean,4,"[36236, 496656]","[36236, 496656]",164,0.7424143531609279,0.7944596460751134,0.12310433379577912,0.006097560975609756,0.7560975609756098,0.8189690758221003,0.7222136068418707,83401.0,84688.0,runs/base_cnn/run_kfold_01/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_02/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_03/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_04/eval_local/test_clean_metrics.json;runs/base_cnn/run_kfold_05/eval_local/test_clean_metrics.json
MedNeXt,Augmented,artifact,1,"[13, 1159)","[13, 1159)",163,0.3126739779208184,0.29389102955757235,0.5950366275543046,0.4233128834355828,0.147239263803681,0.5060928743261881,0.3970986679713693,434.0,509.0,runs/mednext/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_augmented_metrics.json
MedNeXt,Augmented,artifact,2,"[1159, 5290)","[1159, 5290)",163,0.4374045657198892,0.4702510917753478,0.515988120579321,0.17177914110429449,0.2331288343558282,0.5456856526309816,0.4843158626540556,2239.0,2492.0,runs/mednext/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_augmented_metrics.json
MedNeXt,Augmented,artifact,3,"[5290, 36236)","[5290, 36236)",163,0.5696024518184892,0.6493906000613413,0.36511037055843365,0.08588957055214724,0.4171779141104294,0.6749226306851541,0.5581214401053065,9787.0,12541.0,runs/mednext/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_augmented_metrics.json
MedNeXt,Augmented,artifact,4,"[36236, 496656]","[36236, 496656]",164,0.735711454343432,0.8007803611842482,0.14946822663716275,0.024390243902439025,0.75,0.8302368515191924,0.703818404451671,77167.0,84688.0,runs/mednext/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_augmented_metrics.json
MedNeXt,Augmented,clean,1,"[13, 1159)","[13, 1159)",163,0.3393351995708992,0.33657942807773,0.6480733979169172,0.4171779141104294,0.17791411042944785,0.5699448270256009,0.41711373370308163,327.0,509.0,runs/mednext/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_clean_metrics.json
MedNeXt,Augmented,clean,2,"[1159, 5290)","[1159, 5290)",163,0.46766173535343464,0.4972687889438182,0.4548730749562091,0.12883435582822086,0.24539877300613497,0.5924382470828523,0.5091064016328958,2124.0,2492.0,runs/mednext/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_clean_metrics.json
MedNeXt,Augmented,clean,3,"[5290, 36236)","[5290, 36236)",163,0.5955075690046959,0.689324556404599,0.33431061515750116,0.06748466257668712,0.48466257668711654,0.7132515868891595,0.5931069244880341,10070.0,12541.0,runs/mednext/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_clean_metrics.json
MedNeXt,Augmented,clean,4,"[36236, 496656]","[36236, 496656]",164,0.7685718408934439,0.8108725391658341,0.13374699536825385,0.012195121951219513,0.8048780487804879,0.8474680049209473,0.7417182720406245,80655.0,84688.0,runs/mednext/run_DA_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_DA_kfold_05/eval_local/test_clean_metrics.json
