architecture,acquisition_type,contrast,endpoint,endpoint_family,n_subjects,n_fold_predictions,mean_standard,mean_augmented,mean_delta_augmented_minus_standard,median_delta_augmented_minus_standard,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p,effect_size_subject_average_paired_cohens_dz,holm_family,source_mrart_csv,wilcoxon_p_holm
swin_unetr,headmotion1,augmented_minus_standard,predicted_lesion_volume_ml,primary,140,700,77.60364,123.62507142857143,46.02143142857143,40.1265,42.931822464285716,49.181795571428566,1.0114520744886416e-24,2.441804083142229,mrart_training_predicted_lesion_volume_ml,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,6.06871244693185e-24
swin_unetr,headmotion1,augmented_minus_standard,largest_cc_volume_ml,primary,140,700,31.905955714285717,55.809734285714285,23.903778571428568,19.3705,21.43366157142857,26.43146082142857,1.126471024744679e-24,1.554508444939132,mrart_training_largest_cc_volume_ml,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,6.758826148468074e-24
swin_unetr,headmotion1,augmented_minus_standard,connected_component_count_26conn,primary,140,700,229.09714285714287,211.8,-17.297142857142855,-30.5,-20.92007142857143,-13.755714285714285,3.686896578736398e-14,-0.7888630862451188,mrart_training_connected_component_count_26conn,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,1.1060689736209193e-13
swin_unetr,headmotion1,augmented_minus_standard,largest_cc_fraction_of_prediction,primary,140,700,0.422487949679,0.4468033395742857,0.024315389895285717,0.02413761860000002,0.011342823869760718,0.03743450329509643,0.0012008591612420354,0.30380970693509946,mrart_training_largest_cc_fraction_of_prediction,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,0.0054593666745427144
swin_unetr,headmotion1,augmented_minus_standard,scan_positive,secondary,140,700,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,mrart_training_scan_positive,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,1.0
swin_unetr,headmotion2,augmented_minus_standard,predicted_lesion_volume_ml,primary,140,700,85.18088142857142,128.77029142857143,43.58941000000001,38.3745,40.48985039285714,46.86956682142858,1.10247514291855e-24,2.2703748184426624,mrart_training_predicted_lesion_volume_ml,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,6.06871244693185e-24
swin_unetr,headmotion2,augmented_minus_standard,largest_cc_volume_ml,primary,140,700,35.37255142857143,57.65737428571428,22.284822857142856,20.917499999999997,19.94703839285714,24.719757642857147,4.1149677238991866e-23,1.5379190850417261,mrart_training_largest_cc_volume_ml,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,1.234490317169756e-22
swin_unetr,headmotion2,augmented_minus_standard,connected_component_count_26conn,primary,140,700,252.85285714285715,229.37571428571428,-23.47714285714286,-43.5,-27.46875,-19.61285714285714,3.505924139899299e-18,-0.9861950729347134,mrart_training_connected_component_count_26conn,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,1.4023696559597196e-17
swin_unetr,headmotion2,augmented_minus_standard,largest_cc_fraction_of_prediction,primary,140,700,0.42242460365428575,0.4428553714907142,0.02043076783642857,0.028503924749999993,0.00732340611062857,0.033388105691864275,0.0010918733349085429,0.2591880296747966,mrart_training_largest_cc_fraction_of_prediction,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,0.0054593666745427144
swin_unetr,headmotion2,augmented_minus_standard,scan_positive,secondary,140,700,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,mrart_training_scan_positive,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,1.0
swin_unetr,standard,augmented_minus_standard,predicted_lesion_volume_ml,primary,140,700,69.11424428571428,114.07256571428572,44.95832142857143,39.0295,41.66471553571428,48.39132267857142,1.0114520744886416e-24,2.187277751223395,mrart_training_predicted_lesion_volume_ml,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,6.06871244693185e-24
swin_unetr,standard,augmented_minus_standard,largest_cc_volume_ml,primary,140,700,27.439615714285715,52.426170000000006,24.986554285714284,19.6795,22.4918735,27.581478,1.5551233925765376e-24,1.6402791505561467,mrart_training_largest_cc_volume_ml,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,7.775616962882688e-24
swin_unetr,standard,augmented_minus_standard,connected_component_count_26conn,primary,140,700,200.20142857142858,189.95285714285714,-10.248571428571429,-26.0,-13.050035714285714,-7.468428571428574,9.193824525741936e-10,-0.6037473181897981,mrart_training_connected_component_count_26conn,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,1.838764905148387e-09
swin_unetr,standard,augmented_minus_standard,largest_cc_fraction_of_prediction,primary,140,700,0.4070148824252858,0.4506959096654285,0.043681027240142854,0.03998336060000002,0.02974066628488214,0.05728544820218571,3.4609780611416915e-08,0.5203997787800022,mrart_training_largest_cc_fraction_of_prediction,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,2.076586836685015e-07
swin_unetr,standard,augmented_minus_standard,scan_positive,secondary,140,700,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,mrart_training_scan_positive,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,1.0
